Metabolite,Treatment,Replicate,Value
D-glucose,A,1,0.00031495278464908856
D-glucose,A,2,0.0003452788337992615
D-glucose,A,3,0.00032569646441733867
D-glucose,B,1,0.00022888582626747497
D-glucose,B,2,0.00020797477935687153
D-glucose,B,3,0.0002119293787753569
D-glucose,C,1,0.0002006736717899396
D-glucose,C,2,0.0002315074962964762
D-glucose,C,3,0.0004283060985627246
D-glucose,D,1,0.0001687290535179264
D-glucose,D,2,0.00015332794392837175
D-glucose,D,3,0.00021711650132766674
D-glucose,E,1,0.00032908505898621854
D-glucose,E,2,0.00016093364381225854
D-glucose,E,3,0.00021972301784764804
D-glucose,F,1,0.00017286676734661809
D-glucose,F,2,0.00013035733843872518
D-glucose,F,3,0.0002432928794088055
D-glucose,G,1,0.0002972125586856094
D-glucose,G,2,0.00030434715568108733
D-glucose,G,3,0.0002477030575444113
D-glucose,H,1,0.00026074779014879554
D-glucose,H,2,0.00020337127322877152
D-glucose,H,3,0.000224557494808528
D-glucose,I,1,0.00025623268521811864
D-glucose,I,2,0.0002494168183663663
D-glucose,I,3,0.0004720260242363327
Sucrose,A,1,0.00355068694022913
Sucrose,A,2,0.00433550177948974
Sucrose,A,3,0.003996702541423814
Sucrose,B,1,0.003320957628516719
Sucrose,B,2,0.003265945285876177
Sucrose,B,3,0.0043408063779014645
Sucrose,C,1,0.0019539492854329394
Sucrose,C,2,0.00202882861213042
Sucrose,C,3,0.0021188529681127207
Sucrose,D,1,0.004569156354694528
Sucrose,D,2,0.0040363032920494035
Sucrose,D,3,0.003746610518927734
Sucrose,E,1,0.0033308581160341874
Sucrose,E,2,0.0027145620467723948
Sucrose,E,3,0.004862269453070496
Sucrose,F,1,0.005078367894713236
Sucrose,F,2,0.0038504924378843695
Sucrose,F,3,0.004566966076647604
Sucrose,G,1,0.0032544937244067323
Sucrose,G,2,0.003295217172326305
Sucrose,G,3,0.003370367640622047
Sucrose,H,1,0.003083548776938014
Sucrose,H,2,0.005046670870576903
Sucrose,H,3,0.0025302985054173354
Sucrose,I,1,0.003795931269696567
Sucrose,I,2,0.003462469369470996
Sucrose,I,3,0.003807237207607935
Citric_acid,A,1,0.0016654592119981694
Citric_acid,A,2,0.0015090196174178776
Citric_acid,A,3,0.0007819649071868899
Citric_acid,B,1,0.0010744207360497513
Citric_acid,B,2,0.002010074580264492
Citric_acid,B,3,0.001271498920979312
Citric_acid,C,1,0.0010382778929225386
Citric_acid,C,2,0.0012847918038945336
Citric_acid,C,3,0.0006905378293813292
Citric_acid,D,1,0.0007416995933097872
Citric_acid,D,2,0.0013411251020937045
Citric_acid,D,3,0.0012709702782818333
Citric_acid,E,1,0.0014765045474533817
Citric_acid,E,2,0.0015852814473509694
Citric_acid,E,3,0.00126617351005628
Citric_acid,F,1,0.0007532319982298844
Citric_acid,F,2,0.0010547754377331997
Citric_acid,F,3,0.0008624866823061282
Citric_acid,G,1,0.000817589057953564
Citric_acid,G,2,0.0013991923197806374
Citric_acid,G,3,0.0012142483346597698
Citric_acid,H,1,0.0014405209979893034
Citric_acid,H,2,0.001016178459450364
Citric_acid,H,3,0.0011039095555678466
Citric_acid,I,1,0.001002289364593252
Citric_acid,I,2,0.0010308534362380565
Citric_acid,I,3,0.0013510735305208126
Malonic_acid,A,1,4.861226744903237e-06
Malonic_acid,A,2,6.462724958122731e-06
Malonic_acid,A,3,6.43642626405971e-06
Malonic_acid,B,1,1.3450238737014693e-05
Malonic_acid,B,2,5.723092737620001e-06
Malonic_acid,B,3,1.0121705765845194e-05
Malonic_acid,C,1,1.0821290128411301e-05
Malonic_acid,C,2,1.1027366642829308e-05
Malonic_acid,C,3,7.701549457276193e-06
Malonic_acid,D,1,4.873667729292919e-06
Malonic_acid,D,2,6.584342946241932e-06
Malonic_acid,D,3,5.356311798703104e-06
Malonic_acid,E,1,1.0004009945437243e-05
Malonic_acid,E,2,9.116110605322829e-06
Malonic_acid,E,3,1.3083669523641772e-05
Malonic_acid,F,1,8.14840497498711e-06
Malonic_acid,F,2,4.726034237084922e-06
Malonic_acid,F,3,6.890696742555866e-06
Malonic_acid,G,1,4.163741353786454e-06
Malonic_acid,G,2,3.0215005591443804e-06
Malonic_acid,G,3,5.9660457129390215e-06
Malonic_acid,H,1,1.8046087778627936e-05
Malonic_acid,H,2,1.3083068740859794e-05
Malonic_acid,H,3,9.644642003395901e-06
Malonic_acid,I,1,7.568427110841959e-06
Malonic_acid,I,2,1.270268694033982e-05
Malonic_acid,I,3,9.959898586629507e-06
Alpha_ketoglutaric_acid,A,1,1.2009333753074175e-05
Alpha_ketoglutaric_acid,A,2,1.1708544830113371e-05
Alpha_ketoglutaric_acid,A,3,1.1980548966314595e-05
Alpha_ketoglutaric_acid,B,1,1.9767967286581035e-05
Alpha_ketoglutaric_acid,B,2,1.8557114126984615e-05
Alpha_ketoglutaric_acid,B,3,1.705831174105298e-05
Alpha_ketoglutaric_acid,C,1,1.4066869173198943e-05
Alpha_ketoglutaric_acid,C,2,2.0745235567229154e-05
Alpha_ketoglutaric_acid,C,3,1.5386302235272218e-05
Alpha_ketoglutaric_acid,D,1,1.9931397295439737e-05
Alpha_ketoglutaric_acid,D,2,1.1035000858631046e-05
Alpha_ketoglutaric_acid,D,3,1.4649842416914582e-05
Alpha_ketoglutaric_acid,E,1,1.8698983140146855e-05
Alpha_ketoglutaric_acid,E,2,1.3452262785820064e-05
Alpha_ketoglutaric_acid,E,3,2.8812278335625108e-05
Alpha_ketoglutaric_acid,F,1,2.2501863804086524e-05
Alpha_ketoglutaric_acid,F,2,1.3909895722189012e-05
Alpha_ketoglutaric_acid,F,3,1.894285358911415e-05
Alpha_ketoglutaric_acid,G,1,2.0515443368449304e-05
Alpha_ketoglutaric_acid,G,2,9.709638523034534e-06
Alpha_ketoglutaric_acid,G,3,1.9867960800136786e-05
Alpha_ketoglutaric_acid,H,1,2.2159923058152844e-05
Alpha_ketoglutaric_acid,H,2,2.2975438363809976e-05
Alpha_ketoglutaric_acid,H,3,1.7191286898011023e-05
Alpha_ketoglutaric_acid,I,1,1.259601137326999e-05
Alpha_ketoglutaric_acid,I,2,1.2886139506634438e-05
Alpha_ketoglutaric_acid,I,3,1.813312764501513e-05
Chlorophyll_a,A,1,0.0035639083208010725
Chlorophyll_a,A,2,0.004804214338887607
Chlorophyll_a,A,3,0.0029739571635327595
Chlorophyll_a,B,1,0.004128221268704032
Chlorophyll_a,B,2,0.003507074373935592
Chlorophyll_a,B,3,0.0028665445475797476
Chlorophyll_a,C,1,0.003021771194783316
Chlorophyll_a,C,2,0.003262261603659847
Chlorophyll_a,C,3,0.003697906212004741
Chlorophyll_a,D,1,0.0
Chlorophyll_a,D,2,0.0034925437890986123
Chlorophyll_a,D,3,0.0023793842527852845
Chlorophyll_a,E,1,0.0020547752804638175
Chlorophyll_a,E,2,0.003373140977007423
Chlorophyll_a,E,3,0.0025615670409017428
Chlorophyll_a,F,1,0.0030580285338335515
Chlorophyll_a,F,2,0.002805333027625237
Chlorophyll_a,F,3,0.0037118043440082017
Chlorophyll_a,G,1,0.004482910265849336
Chlorophyll_a,G,2,0.003588060107003912
Chlorophyll_a,G,3,0.004070919219411366
Chlorophyll_a,H,1,0.0032136192407992265
Chlorophyll_a,H,2,0.006818782191076061
Chlorophyll_a,H,3,0.003916047401505859
Chlorophyll_a,I,1,0.002451381036074915
Chlorophyll_a,I,2,0.0017162585929907787
Chlorophyll_a,I,3,0.0
Chlorophyll_b,A,1,1.2671918464060595e-06
Chlorophyll_b,A,2,9.94079254591806e-07
Chlorophyll_b,A,3,8.240959647789621e-07
Chlorophyll_b,B,1,8.755764848140388e-07
Chlorophyll_b,B,2,1.7775234035249019e-06
Chlorophyll_b,B,3,9.703603186486442e-07
Chlorophyll_b,C,1,5.706885785542014e-07
Chlorophyll_b,C,2,6.149608546806483e-07
Chlorophyll_b,C,3,6.971993045408045e-07
Chlorophyll_b,D,1,9.287516110634101e-07
Chlorophyll_b,D,2,9.186382313787884e-07
Chlorophyll_b,D,3,1.4975770175539498e-06
Chlorophyll_b,E,1,1.039610296921239e-06
Chlorophyll_b,E,2,1.1296214350143291e-06
Chlorophyll_b,E,3,7.208204299082739e-07
Chlorophyll_b,F,1,1.6989454717337739e-06
Chlorophyll_b,F,2,9.286217384731873e-07
Chlorophyll_b,F,3,1.201732665439986e-06
Chlorophyll_b,G,1,2.181861278062088e-06
Chlorophyll_b,G,2,1.0211382073210768e-06
Chlorophyll_b,G,3,1.223507955957067e-06
Chlorophyll_b,H,1,7.270449211866253e-07
Chlorophyll_b,H,2,7.271550110681106e-07
Chlorophyll_b,H,3,1.2646247372492024e-06
Chlorophyll_b,I,1,8.526258636498548e-07
Chlorophyll_b,I,2,9.287281599762853e-07
Chlorophyll_b,I,3,8.81872107158781e-07
Lutein,A,1,0.001264117525868498
Lutein,A,2,0.002212048241506265
Lutein,A,3,0.0017289794890317414
Lutein,B,1,0.0029439573927599176
Lutein,B,2,0.0035825545683583343
Lutein,B,3,0.0018082606052559833
Lutein,C,1,0.0014278444940378828
Lutein,C,2,0.0018149033027490453
Lutein,C,3,0.0019159664622975345
Lutein,D,1,0.0016292113169922918
Lutein,D,2,0.0023155783044795275
Lutein,D,3,0.001886953059644632
Lutein,E,1,0.001549963037721613
Lutein,E,2,0.0016634365524064083
Lutein,E,3,0.002567530093909714
Lutein,F,1,0.002101595354334898
Lutein,F,2,0.0011641294738854882
Lutein,F,3,0.0026212910424569095
Lutein,G,1,0.002133328173455996
Lutein,G,2,0.002570273393781862
Lutein,G,3,0.0016690444966007115
Lutein,H,1,0.0013659320927065061
Lutein,H,2,0.0011097661656380188
Lutein,H,3,0.0027731836580775263
Lutein,I,1,0.0018392893892487112
Lutein,I,2,0.002858011633213222
Lutein,I,3,0.0016346353288864738
Violaxanthin,A,1,0.001443213583114456
Violaxanthin,A,2,0.001258845708615776
Violaxanthin,A,3,0.0010130605841162758
Violaxanthin,B,1,0.002227186827951848
Violaxanthin,B,2,0.0018058483929405135
Violaxanthin,B,3,0.0020219249203292625
Violaxanthin,C,1,0.001469825584462838
Violaxanthin,C,2,0.0013982805235087218
Violaxanthin,C,3,0.001785898407790264
Violaxanthin,D,1,0.0010463681427014034
Violaxanthin,D,2,0.0013036644857189075
Violaxanthin,D,3,0.0018984306972050216
Violaxanthin,E,1,0.002638607005111402
Violaxanthin,E,2,0.0019983087662781996
Violaxanthin,E,3,0.001502559902635928
Violaxanthin,F,1,0.0013666014291264356
Violaxanthin,F,2,0.0014038938756202888
Violaxanthin,F,3,0.0013847993861306057
Violaxanthin,G,1,0.0025304284722452246
Violaxanthin,G,2,0.0019717874043256767
Violaxanthin,G,3,0.0023435014840307205
Violaxanthin,H,1,0.0
Violaxanthin,H,2,0.0015735344406861767
Violaxanthin,H,3,0.00105243211036553
Violaxanthin,I,1,0.0014758530757569023
Violaxanthin,I,2,0.0019540651089116133
Violaxanthin,I,3,0.0014839036513954297
Neoxanthin,A,1,4.505071590194291e-05
Neoxanthin,A,2,4.268387609794033e-05
Neoxanthin,A,3,3.439135451821078e-05
Neoxanthin,B,1,7.472991900117656e-05
Neoxanthin,B,2,8.033319435841863e-05
Neoxanthin,B,3,8.197111359187651e-05
Neoxanthin,C,1,3.811270405962869e-05
Neoxanthin,C,2,3.837051772217257e-05
Neoxanthin,C,3,5.956212153420094e-05
Neoxanthin,D,1,3.572095243096743e-05
Neoxanthin,D,2,4.156951734149132e-05
Neoxanthin,D,3,2.244738107074124e-05
Neoxanthin,E,1,5.282765536845331e-05
Neoxanthin,E,2,5.279902112019555e-05
Neoxanthin,E,3,4.743706386417123e-05
Neoxanthin,F,1,8.460354586456453e-05
Neoxanthin,F,2,5.4114347294795424e-05
Neoxanthin,F,3,3.726537473139874e-05
Neoxanthin,G,1,7.685448517280076e-05
Neoxanthin,G,2,7.565561509441052e-05
Neoxanthin,G,3,7.617788311879409e-05
Neoxanthin,H,1,0.0001771615541204725
Neoxanthin,H,2,0.00012398669794927281
Neoxanthin,H,3,0.00012623888308889835
Neoxanthin,I,1,5.052430114496841e-05
Neoxanthin,I,2,4.6863390181063764e-05
Neoxanthin,I,3,5.9268857413956995e-05
Alpha_tocopherol,A,1,1.3382222239105799e-05
Alpha_tocopherol,A,2,1.1679655997745294e-05
Alpha_tocopherol,A,3,1.1052672418975998e-05
Alpha_tocopherol,B,1,1.6143929583111917e-05
Alpha_tocopherol,B,2,1.4934485749885942e-05
Alpha_tocopherol,B,3,1.8162125988747545e-05
Alpha_tocopherol,C,1,1.8348166283904734e-05
Alpha_tocopherol,C,2,1.3066619890242624e-05
Alpha_tocopherol,C,3,1.8679336074734565e-05
Alpha_tocopherol,D,1,1.1162057591321649e-05
Alpha_tocopherol,D,2,1.3384750142850818e-05
Alpha_tocopherol,D,3,1.4507228086141042e-05
Alpha_tocopherol,E,1,9.228111892301992e-06
Alpha_tocopherol,E,2,1.5862370149217444e-05
Alpha_tocopherol,E,3,1.6099989542371247e-05
Alpha_tocopherol,F,1,1.8577372767272645e-05
Alpha_tocopherol,F,2,1.738088523240126e-05
Alpha_tocopherol,F,3,1.7602649942078457e-05
Alpha_tocopherol,G,1,1.4483749648573737e-05
Alpha_tocopherol,G,2,1.7283237165310855e-05
Alpha_tocopherol,G,3,1.6103058507198e-05
Alpha_tocopherol,H,1,1.2977042333033815e-05
Alpha_tocopherol,H,2,9.386067898365075e-06
Alpha_tocopherol,H,3,1.345240567957977e-05
Alpha_tocopherol,I,1,1.6570549784649056e-05
Alpha_tocopherol,I,2,1.543181949898056e-05
Alpha_tocopherol,I,3,1.4325212278969175e-05
Gamma_tocopherol,A,1,1.5044918180105967e-05
Gamma_tocopherol,A,2,8.643476476971089e-06
Gamma_tocopherol,A,3,1.4703251108004408e-05
Gamma_tocopherol,B,1,1.0690275081650544e-05
Gamma_tocopherol,B,2,1.0798628808637273e-05
Gamma_tocopherol,B,3,1.107182107798971e-05
Gamma_tocopherol,C,1,1.1751970317014842e-05
Gamma_tocopherol,C,2,1.2969066217367748e-05
Gamma_tocopherol,C,3,1.622732577622524e-05
Gamma_tocopherol,D,1,1.1750701337718836e-05
Gamma_tocopherol,D,2,1.1110952210174024e-05
Gamma_tocopherol,D,3,7.225909112660805e-06
Gamma_tocopherol,E,1,1.8815693621502952e-05
Gamma_tocopherol,E,2,2.2034011966061533e-05
Gamma_tocopherol,E,3,2.1171107179855128e-05
Gamma_tocopherol,F,1,1.4434549705201339e-05
Gamma_tocopherol,F,2,9.223323646555556e-06
Gamma_tocopherol,F,3,1.7232399596227215e-05
Gamma_tocopherol,G,1,1.2797462193427658e-05
Gamma_tocopherol,G,2,7.049316292210124e-06
Gamma_tocopherol,G,3,1.4590379819874971e-05
Gamma_tocopherol,H,1,7.752127619287872e-06
Gamma_tocopherol,H,2,8.140895106647841e-06
Gamma_tocopherol,H,3,9.604872865846505e-06
Gamma_tocopherol,I,1,1.7353036880954018e-05
Gamma_tocopherol,I,2,1.1506457441463221e-05
Gamma_tocopherol,I,3,1.3509155353284592e-05
Beta_sitosterol,A,1,9.971902318710757e-06
Beta_sitosterol,A,2,9.595428813231775e-06
Beta_sitosterol,A,3,6.277306738287757e-06
Beta_sitosterol,B,1,7.482554413758917e-06
Beta_sitosterol,B,2,5.799297733828685e-06
Beta_sitosterol,B,3,6.681483006195624e-06
Beta_sitosterol,C,1,1.2702524128524143e-05
Beta_sitosterol,C,2,1.2608785432605868e-05
Beta_sitosterol,C,3,1.1740221658976597e-05
Beta_sitosterol,D,1,8.002407883781986e-06
Beta_sitosterol,D,2,5.144612570004063e-06
Beta_sitosterol,D,3,6.153511764262957e-06
Beta_sitosterol,E,1,1.5419530316176375e-05
Beta_sitosterol,E,2,1.4862787974067608e-05
Beta_sitosterol,E,3,1.6786258496790743e-05
Beta_sitosterol,F,1,7.561617386623446e-06
Beta_sitosterol,F,2,6.337468298835269e-06
Beta_sitosterol,F,3,7.496063909499132e-06
Beta_sitosterol,G,1,9.780325439383673e-06
Beta_sitosterol,G,2,8.340779904386582e-06
Beta_sitosterol,G,3,1.4529622606194867e-05
Beta_sitosterol,H,1,8.402520412706193e-06
Beta_sitosterol,H,2,9.201984798781967e-06
Beta_sitosterol,H,3,5.5727893090978885e-06
Beta_sitosterol,I,1,1.1532182006723736e-05
Beta_sitosterol,I,2,1.0874882693962319e-05
Beta_sitosterol,I,3,1.0179409870094211e-05
Linolenic_acid,A,1,3.5421517631653597e-05
Linolenic_acid,A,2,5.7245833314994874e-05
Linolenic_acid,A,3,7.789792391170509e-05
Linolenic_acid,B,1,4.568249656025007e-05
Linolenic_acid,B,2,3.5738521269723494e-05
Linolenic_acid,B,3,4.137789469724788e-05
Linolenic_acid,C,1,9.864718191769662e-05
Linolenic_acid,C,2,4.094563371660644e-05
Linolenic_acid,C,3,7.913976834741101e-05
Linolenic_acid,D,1,9.798992262162455e-05
Linolenic_acid,D,2,0.00010145311418062822
Linolenic_acid,D,3,0.0001308755874675251
Linolenic_acid,E,1,7.881484115681932e-05
Linolenic_acid,E,2,6.41664576464276e-05
Linolenic_acid,E,3,6.399685237044708e-05
Linolenic_acid,F,1,6.868893361909461e-05
Linolenic_acid,F,2,4.930472991253885e-05
Linolenic_acid,F,3,5.5857552956043717e-05
Linolenic_acid,G,1,7.275372093351365e-05
Linolenic_acid,G,2,9.462120493160444e-05
Linolenic_acid,G,3,5.574030391424317e-05
Linolenic_acid,H,1,4.702270956484205e-05
Linolenic_acid,H,2,5.001639681782044e-05
Linolenic_acid,H,3,6.658849155100172e-05
Linolenic_acid,I,1,7.811989430912461e-05
Linolenic_acid,I,2,0.00011365446514553359
Linolenic_acid,I,3,6.181578636344406e-05
Jasmonic_acid,A,1,8.725594715694543e-05
Jasmonic_acid,A,2,8.699176906926875e-05
Jasmonic_acid,A,3,0.0001112723974276101
Jasmonic_acid,B,1,0.00013374799857717362
Jasmonic_acid,B,2,7.0617729425597e-05
Jasmonic_acid,B,3,8.192981130756808e-05
Jasmonic_acid,C,1,9.35802550542087e-05
Jasmonic_acid,C,2,7.296157113925012e-05
Jasmonic_acid,C,3,5.879162115276071e-05
Jasmonic_acid,D,1,0.00011613983168878882
Jasmonic_acid,D,2,0.00010135887518926916
Jasmonic_acid,D,3,0.00010133879323979767
Jasmonic_acid,E,1,6.791260885448187e-05
Jasmonic_acid,E,2,9.892062460661332e-05
Jasmonic_acid,E,3,7.20307524180401e-05
Jasmonic_acid,F,1,0.0001860726029972593
Jasmonic_acid,F,2,0.00011263041887116492
Jasmonic_acid,F,3,0.00011426202259961074
Jasmonic_acid,G,1,0.00010572539540770672
Jasmonic_acid,G,2,8.427592897660853e-05
Jasmonic_acid,G,3,0.00011893083278280465
Jasmonic_acid,H,1,0.00014067006466400372
Jasmonic_acid,H,2,0.0001046532433698894
Jasmonic_acid,H,3,0.0001342376377915074
Jasmonic_acid,I,1,9.58202791205017e-05
Jasmonic_acid,I,2,0.0001315322375124516
Jasmonic_acid,I,3,8.93137561873583e-05
